City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Christchurch,NZ,2022-06-13 22:43:16,-43.5333,172.6333,58.41,58,21,12.66
209,Riyadh,SA,2022-06-13 22:38:52,24.6877,46.7219,91.54,12,0,7.43
210,Antalaha,MG,2022-06-13 22:40:10,-14.9003,50.2788,69.1,90,3,6.04
211,Aklavik,CA,2022-06-13 22:43:17,68.2191,-135.0107,58.1,42,87,10.22
212,Touros,BR,2022-06-13 22:43:17,-5.1989,-35.4608,76.06,80,4,9.93
213,Mingrelskaya,RU,2022-06-13 22:43:17,45.0134,38.3379,70.21,71,75,6.15
214,Akyab,MM,2022-06-13 22:39:31,20.15,92.9,81.64,83,88,1.68
215,Belfast,GB,2022-06-13 22:41:37,54.5833,-5.9333,57.02,67,40,3.44
216,Faanui,PF,2022-06-13 22:43:18,-16.4833,-151.75,80.2,69,10,20.8
217,Launceston,AU,2022-06-13 22:43:19,-41.45,147.1667,39.07,82,100,0.92
218,Mayo,US,2022-06-13 22:43:07,38.8876,-76.5119,91.51,74,20,8.05
219,Newport,GB,2022-06-13 22:38:43,51.5877,-2.9984,55.81,75,18,5.39
220,Leningradskiy,RU,2022-06-13 22:43:20,69.3833,178.4167,33.75,91,100,8.86
221,Florianopolis,BR,2022-06-13 22:43:20,-27.6146,-48.5012,58.41,86,20,3.44
222,Lucea,JM,2022-06-13 22:43:21,18.451,-78.1736,85.86,75,100,15.82
223,Kilindoni,TZ,2022-06-13 22:43:21,-7.9139,39.6668,78.31,75,2,16.08
224,Colac,AU,2022-06-13 22:43:21,-38.3333,143.5833,47.17,81,97,5.08
225,Fort Nelson,CA,2022-06-13 22:43:10,58.8053,-122.7002,71.19,23,75,3.44
226,Davila,PH,2022-06-13 22:43:22,18.4726,120.5763,76.98,75,90,5.28
227,Shirokiy,RU,2022-06-13 22:43:23,49.758,129.523,65.23,84,100,6.46
228,Mayachnyy,RU,2022-06-13 22:43:23,52.6839,55.685,48.94,88,0,4.34
229,Knysna,ZA,2022-06-13 22:44:24,-34.0363,23.0471,62.17,48,83,4.9
230,Jumla,NP,2022-06-13 22:44:24,29.2747,82.1838,58.95,80,55,2.06
231,Alekseyevsk,RU,2022-06-13 22:44:24,57.8406,108.3492,61.38,83,8,3.0
232,Laguna,US,2022-06-13 22:42:03,38.421,-121.4238,86.29,17,0,13.8
233,Vestmanna,FO,2022-06-13 22:44:25,62.1564,-7.1664,47.32,100,100,12.66
234,Emerald,AU,2022-06-13 22:44:26,-23.5333,148.1667,53.35,62,1,7.83
235,Saint Anthony,US,2022-06-13 22:44:26,45.0205,-93.218,80.49,78,75,11.5
236,Yueyang,CN,2022-06-13 22:44:26,29.3333,113.0919,71.92,93,46,8.99
237,Kawalu,ID,2022-06-13 22:44:27,-7.3817,108.2082,70.81,96,85,1.97
238,Limbang,MY,2022-06-13 22:44:27,4.75,115.0,77.11,97,65,1.45
239,Waddan,LY,2022-06-13 22:44:28,29.1614,16.139,75.65,46,0,10.87
240,Norman Wells,CA,2022-06-13 22:40:07,65.282,-126.8329,53.64,54,40,14.97
241,Prince Albert,CA,2022-06-13 22:39:31,53.2001,-105.7677,62.55,82,100,11.5
242,Bud,US,2022-06-13 22:44:29,39.447,-86.1758,91.81,74,99,9.93
243,Gazojak,TM,2022-06-13 22:44:29,41.1875,61.4036,81.19,17,1,8.99
244,Dikson,RU,2022-06-13 22:44:29,73.5069,80.5464,30.51,87,99,11.77
245,Luganville,VU,2022-06-13 22:44:30,-15.5333,167.1667,81.68,78,47,6.87
246,Leipzig,DE,2022-06-13 22:40:02,51.342,12.375,55.2,65,0,5.75
247,Fairbanks,US,2022-06-13 22:44:31,64.8378,-147.7164,74.08,34,75,6.91
248,Tukrah,LY,2022-06-13 22:44:31,32.5341,20.5791,71.92,85,0,6.49
249,Huarmey,PE,2022-06-13 22:42:18,-10.0681,-78.1522,65.77,78,14,9.75
250,Bondo,CD,2022-06-13 22:44:32,3.8146,23.6866,67.78,99,94,1.88
251,Viedma,AR,2022-06-13 22:44:32,-40.8135,-62.9967,55.09,49,100,11.83
252,Bria,CF,2022-06-13 22:44:33,6.5423,21.9863,70.0,97,91,2.35
253,Sungaipenuh,ID,2022-06-13 22:44:33,-2.0833,101.3833,63.5,98,100,1.48
254,Avera,US,2022-06-13 22:44:33,33.194,-82.5271,98.55,30,3,5.68
255,Wewak,PG,2022-06-13 22:44:34,-3.5534,143.6268,79.79,82,38,7.81
256,Samagaltay,RU,2022-06-13 22:44:34,50.6022,95.0047,61.97,74,82,5.12
257,Padang,ID,2022-06-13 22:41:28,-0.9492,100.3543,73.45,88,100,2.95
