City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Makakilo City,US,84.52,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
372,Baghdad,IQ,85.91,clear sky,33.3406,44.4009,Baghdad Hotel
373,Tam Ky,VN,76.66,scattered clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
380,Hyderabad,IN,81.91,haze,17.3753,78.4744,Hotel Fortune Residency
381,Kudahuvadhoo,MV,82.44,very heavy rain,2.6708,72.8944,Niyama Private Islands Maldives
385,Bilma,NE,92.91,clear sky,18.6853,12.9164,Expeditions Ténére voyages
386,Northampton,US,85.19,few clouds,40.8754,-75.2499,Gateway Motel
392,Atar,MR,93.69,light rain,20.5169,-13.0499,Oumou Elghoura
393,Gunjur,GM,78.87,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
394,Viransehir,TR,82.47,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
396,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
397,Pierre,US,87.85,clear sky,44.3683,-100.351,Ramkota Hotel
405,Paris,FR,83.17,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
406,Marsh Harbour,BS,79.75,clear sky,26.5412,-77.0636,Abaco Beach Resort
408,Abu Zabad,SD,81.03,overcast clouds,12.35,29.25,حامد محمد نور
410,Chivacoa,VE,80.17,broken clouds,10.1603,-68.895,Hotel Fache C.A
415,Mayo,US,94.48,clear sky,38.8876,-76.5119,Resorts Resource Group International
423,Kita,ML,81.73,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
424,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
426,Daru,PG,78.96,broken clouds,-9.0763,143.2092,Daru Lodge
427,Benito Juarez,MX,75.0,broken clouds,19.385,-99.165,Hotel Beverly
428,Kutum,SD,83.03,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
432,Yaguajay,CU,82.17,broken clouds,22.3272,-79.2378,Hostal La Terraza
434,Meadow Lake,US,87.67,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
435,Ontario,US,89.87,few clouds,34.0633,-117.6509,Capri Motel
442,Bud,US,89.62,broken clouds,39.447,-86.1758,Ted McQuinn Trust
448,Villanueva De Cordoba,ES,77.52,overcast clouds,38.3228,-4.6287,Volao
