City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Tura,IN,25.5198,90.2201,71.65,99,100,5.01,overcast clouds
270,Rakke,EE,58.9817,26.2544,48.51,94,57,2.17,broken clouds
271,Miri,MY,4.4148,114.0089,75.79,91,58,5.7,broken clouds
272,Plettenberg Bay,ZA,-34.0527,23.3716,66.43,34,68,8.93,broken clouds
273,Santa Barbara,US,34.7333,-120.0343,74.79,40,0,14.97,clear sky
274,Feni,BD,23.0186,91.41,77.94,91,100,11.88,overcast clouds
275,Enugu,NG,6.4402,7.4943,69.8,98,100,2.55,overcast clouds
276,Shurugwi,ZW,-19.6702,30.0059,49.14,78,0,2.48,clear sky
277,Vieux-Habitants,GP,16.0589,-61.7659,81.97,71,64,13.96,broken clouds
278,Walvis Bay,NA,-22.9575,14.5053,57.09,87,0,8.68,clear sky
279,Muros,ES,42.7762,-9.0603,67.08,90,46,4.23,scattered clouds
280,Seymchan,RU,62.8833,152.4333,56.21,73,98,1.88,overcast clouds
281,Pimampiro,EC,0.4,-77.9667,65.25,73,100,1.41,light rain
282,Acajutla,SV,13.5928,-89.8275,80.83,81,79,6.64,moderate rain
283,Harindanga,IN,22.0383,88.3214,84.33,73,100,17.09,light rain
284,Ahuimanu,US,21.4447,-157.8378,85.71,61,75,17.27,broken clouds
285,Thurso,GB,58.5927,-3.5259,52.86,74,30,26.53,scattered clouds
286,Oktyabrskoye,RU,43.0645,44.7417,59.14,93,52,4.47,mist
287,Hofn,IS,64.2539,-15.2082,49.33,77,100,18.28,overcast clouds
288,Malindi,KE,-3.2175,40.1191,77.86,80,2,18.03,clear sky
289,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,34,2.24,scattered clouds
290,Coffs Harbour,AU,-30.3,153.1333,51.13,93,85,6.91,overcast clouds
291,Bhimunipatnam,IN,17.8833,83.4333,81.91,80,98,11.39,overcast clouds
292,Kenora,CA,49.8167,-94.4337,69.78,22,5,8.01,clear sky
293,Idrinskoye,RU,54.3708,92.1358,49.82,92,12,3.74,few clouds
294,Talnakh,RU,69.4865,88.3972,45.21,61,15,9.93,few clouds
295,Gambo,CF,4.6482,22.2633,68.49,99,100,3.44,overcast clouds
296,Entebbe,UG,0.0644,32.4469,70.63,72,60,6.22,broken clouds
297,Boulsa,BF,12.6675,-0.5758,79.16,65,97,0.85,overcast clouds
298,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,93,75,4.47,broken clouds
299,Washim,IN,20.1,77.15,79.84,73,100,3.24,overcast clouds
300,Fukue,JP,32.6881,128.8419,72.07,92,85,6.4,overcast clouds
301,Padang,ID,-0.9492,100.3543,75.7,87,100,3.0,overcast clouds
302,Vardo,NO,70.3705,31.1107,39.18,93,100,11.5,overcast clouds
303,Flin Flon,CA,54.7682,-101.865,62.58,40,100,9.82,overcast clouds
304,Buala,SB,-8.145,159.5921,78.3,85,88,4.14,light rain
305,Port-Gentil,GA,-0.7193,8.7815,76.05,75,96,10.02,overcast clouds
306,Chekmagush,RU,55.1319,54.6556,55.98,94,100,5.5,overcast clouds
307,Phonhong,LA,18.5007,102.4166,74.32,95,98,2.15,light rain
308,Port Lincoln,AU,-34.7333,135.8667,53.4,67,3,13.82,clear sky
309,Champerico,GT,14.3,-91.9167,80.42,79,99,4.85,overcast clouds
310,Diu,IN,20.7141,70.9822,83.97,78,98,12.68,overcast clouds
311,Vao,NC,-22.6667,167.4833,69.76,87,100,14.14,light rain
312,Yibin,CN,28.7667,104.6238,73.26,85,99,0.07,overcast clouds
313,Kargasok,RU,59.0556,80.8572,56.26,91,96,4.88,overcast clouds
314,Bogorodskoye,RU,56.55,37.8833,49.62,93,13,3.58,few clouds
315,Haysville,US,37.5645,-97.3523,100.35,41,0,13.8,clear sky
316,Manado,ID,1.487,124.8455,74.17,94,20,1.14,few clouds
317,Altamont,US,42.2068,-121.7372,62.44,46,0,16.11,clear sky
318,Burgeo,CA,47.6167,-57.6152,54.34,80,92,6.67,overcast clouds
319,Xuddur,SO,4.1213,43.8894,71.47,68,13,15.7,few clouds
320,Richards Bay,ZA,-28.783,32.0377,56.07,54,0,7.85,clear sky
321,Kaseda,JP,31.4167,130.3167,72.9,90,100,3.22,moderate rain
322,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,43,0,31.07,clear sky
323,Luanda,AO,-8.8368,13.2343,69.28,81,82,10.36,broken clouds
324,Esperance,AU,-33.8667,121.9,57.99,76,96,18.21,overcast clouds
325,Alice Springs,AU,-23.7,133.8833,38.75,93,4,0.0,clear sky
326,Lasa,IT,46.6166,10.7002,64.36,64,85,5.75,overcast clouds
327,Cabinda,AO,-5.55,12.2,72.16,84,99,5.55,overcast clouds
328,Hay River,CA,60.8156,-115.7999,56.35,53,85,7.83,overcast clouds
329,Seda,LV,57.65,25.75,55.06,97,2,4.81,clear sky
330,Svetlogorsk,BY,52.6333,29.7333,53.35,94,98,6.11,overcast clouds
331,Tsogni,GA,-2.7942,10.0988,70.72,87,88,3.22,overcast clouds
332,Angatuba,BR,-23.4897,-48.4128,66.2,49,45,6.17,scattered clouds
333,Victor Harbor,AU,-35.5667,138.6167,49.68,81,0,7.74,clear sky
334,Rocha,UY,-34.4833,-54.3333,48.65,53,5,19.26,clear sky
